Product ID;URL to Product Image;URL to Product Details;Language Key;Product Name;Product Description;Brand ID;Is Base Product;Open Access;Publisher Code;ImprintCode;PublisherName;Medium;Publisher ID;DOI
13205;https://covers.springernature.com/journals/jpg_width_153_pixels/13205.jpg;https://link.springer.com/journal/13205;EN;3 Biotech;3 Biotech;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;10.1007/13205.2190-5738
10288;https://covers.springernature.com/journals/jpg_width_153_pixels/10288.jpg;https://link.springer.com/journal/10288;EN;4OR;4OR;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/10288.1614-2411
43673;https://covers.springernature.com/journals/jpg_width_153_pixels/43673.jpg;https://link.springer.com/journal/43673;EN;AAPPS Bulletin;AAPPS Bulletin;SPR;X;true;SPVS;SPR;Springer Nature Singapore;;SPVS;
41120;https://covers.springernature.com/journals/jpg_width_153_pixels/41120.jpg;https://link.springer.com/journal/41120;EN;AAPS Open;AAPS Open;SPR;X;true;SPCH;SPR;Springer International Publishing;;SPCH;
12249;https://covers.springernature.com/journals/jpg_width_153_pixels/12249.jpg;https://link.springer.com/journal/12249;EN;AAPS PharmSciTech;AAPS PharmSciTech;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;‚
261;https://covers.springernature.com/journals/jpg_width_153_pixels/261.jpg;https://link.springer.com/journal/261;EN;Abdominal Radiology;Abdominal Radiology;SPR;X;false;SPVU;SPR;Springer US;;SPVU;10.1007/261.1432-0509
12188;https://covers.springernature.com/journals/jpg_width_153_pixels/12188.jpg;https://link.springer.com/journal/12188;EN;Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg;Abhandlungen Mathematischen Seminar  Universität Hamburg;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/12188.1865-8784
42994;https://covers.springernature.com/journals/jpg_width_153_pixels/42994.jpg;https://link.springer.com/journal/42994;EN;aBIOTECH;aBIOTECH;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;
40596;https://covers.springernature.com/journals/jpg_width_153_pixels/40596.jpg;https://link.springer.com/journal/40596;EN;Academic Psychiatry;Academic Psychiatry;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
769;https://covers.springernature.com/journals/jpg_width_153_pixels/769.jpg;https://link.springer.com/journal/769;EN;Accreditation and Quality Assurance;Accreditation Quality Assurance;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/769.1432-0517
40857;https://covers.springernature.com/journals/jpg_width_153_pixels/40857.jpg;https://link.springer.com/journal/40857;EN;Acoustics Australia;Acoustics Australia;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;
12136;https://covers.springernature.com/journals/jpg_width_153_pixels/12136.jpg;https://link.springer.com/journal/12136;EN;Acta Analytica;Acta Analytica;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/12136.1874-6349
10440;https://covers.springernature.com/journals/jpg_width_153_pixels/10440.jpg;https://link.springer.com/journal/10440;EN;Acta Applicandae Mathematicae;Acta Applicandae Mathematicae;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/10440.1572-9036
10441;https://covers.springernature.com/journals/jpg_width_153_pixels/10441.jpg;https://link.springer.com/journal/10441;EN;Acta Biotheoretica;Acta Biotheoretica;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/10441.1572-8358
592;https://covers.springernature.com/journals/jpg_width_153_pixels/592.jpg;https://link.springer.com/journal/592;EN;Acta Diabetologica;Acta Diabetologica;SPR;X;false;SPVM;SPR;Springer Milan;;SPVM;10.1007/592.1432-5233
